종목,월,방향,손절적용,구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,1,아래,가능,전체,11,0,7.6,0.69,45.45,9.6,-5.0,4.99,0,2,6.27,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,아래,가능,앞 절반,5,0,-2.27,-0.45,40.0,6.46,-5.0,4.52,0,1,6.8,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,아래,가능,뒤 절반,6,0,9.87,1.64,50.0,9.6,-5.0,5.57,0,1,5.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,가능,최근 10년,10,0,8.72,0.87,50.0,9.6,-5.0,5.22,0,2,6.2,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,가능,최근 5년,5,0,5.36,1.07,40.0,9.6,-5.0,6.02,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,가능,전체,11,0,-13.57,-1.23,45.45,3.7,-5.0,3.83,0,5,5.82,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,가능,앞 절반,5,0,2.3,0.46,60.0,3.7,-5.0,3.63,0,1,7.0,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,가능,뒤 절반,6,0,-15.87,-2.64,33.33,2.82,-5.0,3.68,0,4,4.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,가능,최근 10년,10,0,-14.69,-1.47,40.0,3.7,-5.0,3.95,0,5,5.7,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,가능,최근 5년,5,0,-10.87,-2.17,40.0,2.82,-5.0,3.91,0,3,4.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,2,아래,가능,전체,11,0,10.16,0.92,63.64,8.23,-5.0,3.68,0,1,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,가능,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,가능,뒤 절반,6,0,0.22,0.04,50.0,5.92,-5.0,3.85,0,1,5.83,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,가능,최근 10년,10,0,10.93,1.09,70.0,8.23,-5.0,3.83,0,1,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,가능,최근 5년,5,0,-5.7,-1.14,40.0,2.55,-5.0,2.85,0,1,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,위,가능,전체,11,0,-6.68,-0.61,36.36,4.33,-5.0,2.85,0,2,5.36,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,위,가능,앞 절반,5,0,-6.71,-1.34,20.0,0.77,-5.0,2.18,0,1,5.2,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,위,가능,뒤 절반,6,0,0.02,0.0,50.0,4.33,-5.0,3.39,0,1,5.5,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,위,가능,최근 10년,10,0,-7.45,-0.75,30.0,4.33,-5.0,2.97,0,2,5.3,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,위,가능,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,3,아래,가능,전체,11,0,7.03,0.64,54.55,9.63,-5.99,5.14,1,2,7.09,예,2016-03-18,2026-03-20
KODEX 코스닥150,3,아래,가능,앞 절반,5,0,-0.44,-0.09,60.0,3.62,-5.99,4.09,1,0,7.2,아니오,2016-03-18,2020-03-20
KODEX 코스닥150,3,아래,가능,뒤 절반,6,0,7.47,1.24,50.0,9.63,-5.0,6.21,0,2,7.0,아니오,2021-03-19,2026-03-20
KODEX 코스닥150,3,아래,가능,최근 10년,10,0,5.2,0.52,50.0,9.63,-5.99,5.4,1,2,6.9,예,2017-03-20,2026-03-20
KODEX 코스닥150,3,아래,가능,최근 5년,5,0,7.08,1.42,40.0,9.63,-5.0,6.92,0,2,6.8,아니오,2022-03-18,2026-03-20
KODEX 코스닥150,3,위,가능,전체,11,0,-17.06,-1.55,36.36,6.97,-6.62,4.32,2,3,6.27,예,2016-03-18,2026-03-20
KODEX 코스닥150,3,위,가능,앞 절반,5,0,-16.23,-3.25,20.0,2.66,-6.62,3.75,2,1,5.8,아니오,2016-03-18,2020-03-20
KODEX 코스닥150,3,위,가능,뒤 절반,6,0,-0.83,-0.14,50.0,6.97,-5.0,4.57,0,2,6.67,아니오,2021-03-19,2026-03-20
KODEX 코스닥150,3,위,가능,최근 10년,10,0,-15.23,-1.52,40.0,6.97,-6.62,4.55,2,3,6.0,예,2017-03-20,2026-03-20
KODEX 코스닥150,3,위,가능,최근 5년,5,0,-0.44,-0.09,60.0,6.97,-5.0,5.1,0,2,6.4,아니오,2022-03-18,2026-03-20
KODEX 코스닥150,4,아래,가능,전체,11,0,14.41,1.31,81.82,7.77,-5.0,3.39,0,1,6.73,예,2016-04-20,2026-04-20
KODEX 코스닥150,4,아래,가능,앞 절반,5,0,9.52,1.9,100.0,2.86,0.8,0.75,0,0,6.6,아니오,2016-04-20,2020-04-20
KODEX 코스닥150,4,아래,가능,뒤 절반,6,0,4.89,0.82,66.67,7.77,-5.0,4.68,0,1,6.83,아니오,2021-04-20,2026-04-20
KODEX 코스닥150,4,아래,가능,최근 10년,10,0,12.75,1.27,80.0,7.77,-5.0,3.57,0,1,6.7,예,2017-04-20,2026-04-20
KODEX 코스닥150,4,아래,가능,최근 5년,5,0,-2.87,-0.57,60.0,2.51,-5.0,3.58,0,1,6.6,아니오,2022-04-20,2026-04-20
KODEX 코스닥150,4,위,가능,전체,11,0,-21.02,-1.91,18.18,3.86,-5.0,2.68,0,3,6.45,예,2016-04-20,2026-04-20
KODEX 코스닥150,4,위,가능,앞 절반,5,0,-9.52,-1.9,0.0,-0.8,-2.86,0.75,0,0,6.6,아니오,2016-04-20,2020-04-20
KODEX 코스닥150,4,위,가능,뒤 절반,6,0,-11.5,-1.92,33.33,3.86,-5.0,3.74,0,3,6.33,아니오,2021-04-20,2026-04-20
KODEX 코스닥150,4,위,가능,최근 10년,10,0,-19.35,-1.94,20.0,3.86,-5.0,2.83,0,3,6.4,예,2017-04-20,2026-04-20
KODEX 코스닥150,4,위,가능,최근 5년,5,0,-6.5,-1.3,40.0,3.86,-5.0,3.82,0,2,6.4,아니오,2022-04-20,2026-04-20
KODEX 코스닥150,5,아래,가능,전체,11,0,-19.52,-1.77,18.18,1.42,-5.0,2.15,0,2,7.09,예,2016-05-20,2026-05-20
KODEX 코스닥150,5,아래,가능,앞 절반,5,0,-5.94,-1.19,20.0,1.42,-2.56,1.66,0,0,7.8,아니오,2016-05-20,2020-05-20
KODEX 코스닥150,5,아래,가능,뒤 절반,6,0,-13.59,-2.26,16.67,1.01,-5.0,2.53,0,2,6.5,아니오,2021-05-20,2026-05-20
KODEX 코스닥150,5,아래,가능,최근 10년,10,0,-16.97,-1.7,20.0,1.42,-5.0,2.25,0,2,7.1,예,2017-05-19,2026-05-20
KODEX 코스닥150,5,아래,가능,최근 5년,5,0,-13.12,-2.62,20.0,1.01,-5.0,2.65,0,2,6.4,아니오,2022-05-20,2026-05-20
KODEX 코스닥150,5,위,가능,전체,11,0,20.39,1.85,81.82,6.48,-1.42,2.33,0,0,7.55,예,2016-05-20,2026-05-20
KODEX 코스닥150,5,위,가능,앞 절반,5,0,5.94,1.19,80.0,2.56,-1.42,1.66,0,0,7.8,아니오,2016-05-20,2020-05-20
KODEX 코스닥150,5,위,가능,뒤 절반,6,0,14.45,2.41,83.33,6.48,-1.01,2.8,0,0,7.33,아니오,2021-05-20,2026-05-20
KODEX 코스닥150,5,위,가능,최근 10년,10,0,17.83,1.78,80.0,6.48,-1.42,2.44,0,0,7.6,예,2017-05-19,2026-05-20
